states,x,y
Cabo Delgado,127,210
Gaza,-93,-162
Ihambane,-35,-145
Manica,-77,-13
Maputo,-105,-229
Nampula,135,131
Niassa,33,191
Sofala,-19,-8
Tete,-93,115
Zambezia,46,77
