states,x,y
Eastern Cape,66,-203
Gauteng,154,128
KwaZulu-Natal,263,-10
Limpopo,211,257
Mpumalanga,246,136
Northern Cape,-162,-78
North West,16,106
Orange Free State,77,-1
Western Cape,-202,-278
