states,x,y
Bulawayo,-50,-87
Harare,155,89
Manicaland,250,-39
Mashonaland East,174,45
Mashonaland Central,169,189
Mashonaland West,56,167
Masvingo,160,-136
Matabeleland South,-45,-174
Matabeleland North,-149,9
Midlands,55,-20
