states,x,y
Bengo,-191,73
Benguela,-183,-75
Bie,-27,-56
Cabinda,-252,287
Cuando Cubango,64,-238
Cuanza Norte,-138,106
Cuanza Sul,-142,10
Cunene,-104,-246
Huambo,-100,-62
Huila,-139,-161
Luanda,-212,105
Lunda Norte,46,107
Lunda Sul,119,41
Malanje,-55,100
Moxico,111,-75
Namibe,-243,-212
Uige,-113,197
Zaire,-216,217
